date_heure,id_compteur,nb_passages
2025-01-01 03:00:00,100053055,0
2025-01-01 03:00:00,100053059,1
2025-01-01 03:00:00,100053210,0
2025-01-01 03:00:00,100054073,1
2025-01-01 03:00:00,100055268,1
2025-01-01 03:00:00,100056188,13
2025-01-01 03:00:00,300014985,19
2025-01-01 03:00:00,300014986,17
2025-01-01 03:00:00,300014993,3
2025-01-01 03:00:00,300014994,2
2025-01-01 03:00:00,300014995,18
2025-01-01 03:00:00,300014996,9
2025-01-01 03:00:00,300020478,4
2025-01-01 03:00:00,300020679,16
2025-01-01 03:00:00,300020816,12
2025-01-01 03:00:00,300020817,10
2025-01-01 03:00:00,300021685,0
2025-01-01 03:00:00,300028650,6
2025-01-01 04:00:00,100001753,2
2025-01-01 04:00:00,100003032,13
2025-01-01 04:00:00,100003040,0
2025-01-01 04:00:00,100003041,2
2025-01-01 04:00:00,100003042,0
2025-01-01 04:00:00,100004575,0
2025-01-01 04:00:00,100007390,252
2025-01-01 04:00:00,100011747,5
2025-01-01 04:00:00,100011783,1
2025-01-01 04:00:00,100012217,4
2025-01-01 04:00:00,100012218,0
2025-01-01 04:00:00,100017441,1
2025-01-01 04:00:00,100017523,2
2025-01-01 04:00:00,100025474,12
2025-01-01 04:00:00,100035408,1
2025-01-01 04:00:00,100035409,0
2025-01-01 04:00:00,100041114,0
2025-01-01 04:00:00,100047030,5
2025-01-01 04:00:00,100052600,6
2025-01-01 04:00:00,100052602,0
2025-01-01 04:00:00,100052603,0
2025-01-01 04:00:00,100052605,0
2025-01-01 04:00:00,100052606,0
2025-01-01 04:00:00,100053055,0
2025-01-01 04:00:00,100053059,2
2025-01-01 04:00:00,100053210,1
2025-01-01 04:00:00,100054073,1
2025-01-01 04:00:00,100055268,1
2025-01-01 04:00:00,100056188,6
2025-01-01 04:00:00,300014985,6
2025-01-01 04:00:00,300014986,10
2025-01-01 04:00:00,300014993,0
2025-01-01 04:00:00,300014994,0
2025-01-01 04:00:00,300014995,11
2025-01-01 04:00:00,300014996,2
2025-01-01 04:00:00,300020478,1
2025-01-01 04:00:00,300020679,6
2025-01-01 04:00:00,300020816,5
2025-01-01 04:00:00,300020817,6
2025-01-01 04:00:00,300021685,0
2025-01-01 04:00:00,300028650,1
2025-01-01 05:00:00,100001753,0
2025-01-01 05:00:00,100003032,7
2025-01-01 05:00:00,100003040,0
2025-01-01 05:00:00,100003041,1
2025-01-01 05:00:00,100003042,2
2025-01-01 05:00:00,100004575,0
2025-01-01 05:00:00,100007390,260
2025-01-01 05:00:00,100011747,0
2025-01-01 05:00:00,100011783,7
2025-01-01 05:00:00,100012217,5
2025-01-01 05:00:00,100012218,0
2025-01-01 05:00:00,100017441,1
2025-01-01 05:00:00,100017523,1
2025-01-01 05:00:00,100025474,5
2025-01-01 05:00:00,100035408,6
2025-01-01 05:00:00,100035409,0
2025-01-01 05:00:00,100041114,0
2025-01-01 05:00:00,100047030,2
2025-01-01 05:00:00,100052600,6
2025-01-01 05:00:00,100052602,0
2025-01-01 05:00:00,100052603,0
2025-01-01 05:00:00,100052605,0
2025-01-01 05:00:00,100052606,5
2025-01-01 05:00:00,100053055,0
2025-01-01 05:00:00,100053059,2
2025-01-01 05:00:00,100053210,1
2025-01-01 05:00:00,100054073,0
2025-01-01 05:00:00,100055268,6
2025-01-01 05:00:00,100056188,7
2025-01-01 05:00:00,300014985,2
2025-01-01 05:00:00,300014986,6
2025-01-01 05:00:00,300014993,2
2025-01-01 05:00:00,300014994,0
2025-01-01 05:00:00,300014995,4
2025-01-01 05:00:00,300014996,4
2025-01-01 05:00:00,300020478,0
2025-01-01 05:00:00,300020679,2
2025-01-01 05:00:00,300020816,1
2025-01-01 05:00:00,300020817,1
2025-01-01 05:00:00,300021685,0
2025-01-01 05:00:00,300028650,2
2025-01-01 06:00:00,100001753,2
2025-01-01 06:00:00,100003032,15
2025-01-01 06:00:00,100003040,0
2025-01-01 06:00:00,100003041,0
2025-01-01 06:00:00,100003042,3
2025-01-01 06:00:00,100004575,0
2025-01-01 06:00:00,100007390,216
2025-01-01 06:00:00,100011747,1
2025-01-01 06:00:00,100011783,2
2025-01-01 06:00:00,100012217,3
2025-01-01 06:00:00,100012218,0
2025-01-01 06:00:00,100017441,4
2025-01-01 06:00:00,100017523,0
2025-01-01 06:00:00,100025474,4
2025-01-01 06:00:00,100035408,0
2025-01-01 06:00:00,100035409,0
2025-01-01 06:00:00,100041114,0
2025-01-01 06:00:00,100047030,4
2025-01-01 06:00:00,100052600,4
2025-01-01 06:00:00,100052602,0
2025-01-01 06:00:00,100052603,0
2025-01-01 06:00:00,100052605,0
2025-01-01 06:00:00,100052606,1
2025-01-01 06:00:00,100053055,0
2025-01-01 06:00:00,100053059,1
2025-01-01 06:00:00,100053210,1
2025-01-01 06:00:00,100054073,0
2025-01-01 06:00:00,100055268,1
2025-01-01 06:00:00,100056188,5
2025-01-01 06:00:00,300014985,3
2025-01-01 06:00:00,300014986,3
2025-01-01 06:00:00,300014993,0
2025-01-01 06:00:00,300014994,1
2025-01-01 06:00:00,300014995,2
2025-01-01 06:00:00,300014996,2
2025-01-01 06:00:00,300020478,1
2025-01-01 06:00:00,300020679,4
2025-01-01 06:00:00,300020816,0
2025-01-01 06:00:00,300020817,2
2025-01-01 06:00:00,300021685,1
2025-01-01 06:00:00,300028650,2
2025-01-01 07:00:00,100001753,2
2025-01-01 07:00:00,100003032,9
2025-01-01 07:00:00,100003040,0
2025-01-01 07:00:00,100003041,4
2025-01-01 07:00:00,100003042,2
2025-01-01 07:00:00,100004575,0
2025-01-01 07:00:00,100007390,281
2025-01-01 07:00:00,100011747,0
2025-01-01 07:00:00,100011783,1
2025-01-01 07:00:00,100012217,2
2025-01-01 07:00:00,100012218,0
2025-01-01 07:00:00,100017441,1
2025-01-01 07:00:00,100017523,0
2025-01-01 07:00:00,100025474,4
2025-01-01 07:00:00,100035408,1
2025-01-01 07:00:00,100035409,0
2025-01-01 07:00:00,100041114,1
2025-01-01 07:00:00,100047030,0
2025-01-01 07:00:00,100052600,5
2025-01-01 07:00:00,100052602,0
2025-01-01 07:00:00,100052603,0
2025-01-01 07:00:00,100052605,0
2025-01-01 07:00:00,100052606,1
2025-01-01 07:00:00,100053055,0
2025-01-01 07:00:00,100053059,0
2025-01-01 07:00:00,100053210,0
2025-01-01 07:00:00,100054073,0
2025-01-01 07:00:00,100055268,0
2025-01-01 07:00:00,100056188,1
2025-01-01 07:00:00,300014985,2
2025-01-01 07:00:00,300014986,3
2025-01-01 07:00:00,300014993,0
2025-01-01 07:00:00,300014994,2
2025-01-01 07:00:00,300014995,2
2025-01-01 07:00:00,300014996,5
2025-01-01 07:00:00,300020478,2
2025-01-01 07:00:00,300020679,7
2025-01-01 07:00:00,300020816,2
2025-01-01 07:00:00,300020817,3
2025-01-01 07:00:00,300021685,0
2025-01-01 07:00:00,300028650,1
2025-01-01 08:00:00,100001753,1
2025-01-01 08:00:00,100003032,6
2025-01-01 08:00:00,100003040,0
2025-01-01 08:00:00,100003041,1
2025-01-01 08:00:00,100003042,1
2025-01-01 08:00:00,100004575,0
2025-01-01 08:00:00,100007390,42
2025-01-01 08:00:00,100011747,0
2025-01-01 08:00:00,100011783,1
2025-01-01 08:00:00,100012217,2
2025-01-01 08:00:00,100012218,0
2025-01-01 08:00:00,100017441,3
2025-01-01 08:00:00,100017523,0
2025-01-01 08:00:00,100025474,5
2025-01-01 08:00:00,100035408,0
2025-01-01 08:00:00,100035409,0
2025-01-01 08:00:00,100041114,2
2025-01-01 08:00:00,100047030,5
2025-01-01 08:00:00,100052600,2
2025-01-01 08:00:00,100052602,0
2025-01-01 08:00:00,100052603,0
2025-01-01 08:00:00,100052605,3
2025-01-01 08:00:00,100052606,0
2025-01-01 08:00:00,100053055,0
2025-01-01 08:00:00,100053059,0
2025-01-01 08:00:00,100053210,0
2025-01-01 08:00:00,100054073,1
2025-01-01 08:00:00,100055268,2
2025-01-01 08:00:00,100056188,3
2025-01-01 08:00:00,300014985,5
2025-01-01 08:00:00,300014986,1
2025-01-01 08:00:00,300014993,0
2025-01-01 08:00:00,300014994,0
2025-01-01 08:00:00,300014995,1
2025-01-01 08:00:00,300014996,6
2025-01-01 08:00:00,300020478,0
2025-01-01 08:00:00,300020679,2
2025-01-01 08:00:00,300020816,6
2025-01-01 08:00:00,300020817,0
2025-01-01 08:00:00,300021685,0
2025-01-01 08:00:00,300028650,0
2025-01-01 09:00:00,100001753,0
2025-01-01 09:00:00,100003032,3
2025-01-01 09:00:00,100003040,0
2025-01-01 09:00:00,100003041,0
2025-01-01 09:00:00,100003042,1
2025-01-01 09:00:00,100004575,0
2025-01-01 09:00:00,100007390,3
2025-01-01 09:00:00,100011747,1
2025-01-01 09:00:00,100011783,0
2025-01-01 09:00:00,100012217,3
2025-01-01 09:00:00,100012218,0
2025-01-01 09:00:00,100017441,2
2025-01-01 09:00:00,100017523,1
2025-01-01 09:00:00,100025474,5
2025-01-01 09:00:00,100035408,1
2025-01-01 09:00:00,100035409,0
2025-01-01 09:00:00,100041114,2
2025-01-01 09:00:00,100047030,0
2025-01-01 09:00:00,100052600,5
2025-01-01 09:00:00,100052602,0
2025-01-01 09:00:00,100052603,3
2025-01-01 09:00:00,100052605,0
2025-01-01 09:00:00,100052606,0
2025-01-01 09:00:00,100053055,0
2025-01-01 09:00:00,100053059,1
2025-01-01 09:00:00,100053210,0
2025-01-01 09:00:00,100054073,0
2025-01-01 09:00:00,100055268,2
2025-01-01 09:00:00,100056188,8
2025-01-01 09:00:00,300014985,3
2025-01-01 09:00:00,300014986,1
2025-01-01 09:00:00,300014993,1
2025-01-01 09:00:00,300014994,3
2025-01-01 09:00:00,300014995,1
2025-01-01 09:00:00,300014996,3
2025-01-01 09:00:00,300020478,3
2025-01-01 09:00:00,300020679,3
2025-01-01 09:00:00,300020816,1
2025-01-01 09:00:00,300020817,0
2025-01-01 09:00:00,300021685,0
2025-01-01 09:00:00,300028650,0
2025-01-01 10:00:00,100001753,0
2025-01-01 10:00:00,100003032,6
2025-01-01 10:00:00,100003040,1
2025-01-01 10:00:00,100003041,3
2025-01-01 10:00:00,100003042,6
2025-01-01 10:00:00,100004575,0
2025-01-01 10:00:00,100007390,4
2025-01-01 10:00:00,100011747,0
2025-01-01 10:00:00,100011783,6
2025-01-01 10:00:00,100012217,5
2025-01-01 10:00:00,100012218,1
2025-01-01 10:00:00,100017441,0
2025-01-01 10:00:00,100017523,0
2025-01-01 10:00:00,100025474,6
2025-01-01 10:00:00,100035408,0
2025-01-01 10:00:00,100035409,0
2025-01-01 10:00:00,100041114,0
2025-01-01 10:00:00,100047030,1
2025-01-01 10:00:00,100052600,2
2025-01-01 10:00:00,100052602,0
2025-01-01 10:00:00,100052603,0
2025-01-01 10:00:00,100052605,0
2025-01-01 10:00:00,100052606,0
2025-01-01 10:00:00,100053055,0
2025-01-01 10:00:00,100053059,1
2025-01-01 10:00:00,100053210,2
2025-01-01 10:00:00,100054073,0
2025-01-01 10:00:00,100055268,1
2025-01-01 10:00:00,100056188,1
2025-01-01 10:00:00,300014985,2
2025-01-01 10:00:00,300014986,1
2025-01-01 10:00:00,300014993,2
2025-01-01 10:00:00,300014994,2
2025-01-01 10:00:00,300014995,0
2025-01-01 10:00:00,300014996,3
2025-01-01 10:00:00,300020478,2
2025-01-01 10:00:00,300020679,6
2025-01-01 10:00:00,300020816,2
2025-01-01 10:00:00,300020817,1
2025-01-01 10:00:00,300021685,0
2025-01-01 10:00:00,300028650,2
2025-01-01 11:00:00,100001753,1
2025-01-01 11:00:00,100003032,3
2025-01-01 11:00:00,100003040,2
2025-01-01 11:00:00,100003041,3
2025-01-01 11:00:00,100003042,0
2025-01-01 11:00:00,100004575,0
2025-01-01 11:00:00,100007390,6
2025-01-01 11:00:00,100011747,2
2025-01-01 11:00:00,100011783,0
2025-01-01 11:00:00,100012217,7
2025-01-01 11:00:00,100012218,0
2025-01-01 11:00:00,100017441,1
2025-01-01 11:00:00,100017523,1
2025-01-01 11:00:00,100025474,12
2025-01-01 11:00:00,100035408,3
2025-01-01 11:00:00,100035409,0
2025-01-01 11:00:00,100041114,3
2025-01-01 11:00:00,100047030,1
2025-01-01 11:00:00,100052600,7
